scenario,intervention,level,comparison_baseline,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
blood_current,Blood,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.152159040605262,-4.336105306398039,0.0
blood_moderate,Blood,moderate,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.78723489878869,-8.870195053783775,0.0
blood_high,Blood,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.320857982212566,-15.94931393070776,0.0
referral_base,Referral,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_current,Referral,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_moderate,Referral,moderate,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.09443370967002412,-0.04575107484859198,-0.048682634821432064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5745100406455066,-1.673601903868807,0.0
referral_high,Referral,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.17968986706383544,-0.0854428244917339,-0.09424704257210148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.877379371403279,-3.0583696733251386,0.0
pulse_base,PULSE,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,overall_no_flags,0.0,0.0,8.300132802174787e-06,0.0,0.0,2.0322749406428975e-05,-4.844275053039748e-06,-0.0002018542921948252,0.00020669856724786495,0.0,0.0,-1.056380538452242e-05,-0.00010342468509799349,0.0,0.0,0.0,-0.0008883892749274591,0.0003009569062092099,0.0,0.0,-0.0007782003299931645,1.4085073846027002e-06,0.0,0.0,0.0,-8.531530443881691e-05,-1.1469274417481614,-0.41265839024752893,0.029427743571169174
pulse_moderate,PULSE,moderate,overall_no_flags,0.0,0.0,-6.308100929619531e-05,0.0,0.0,-0.00025453740593182894,0.002519365153244024,-0.001779552263964368,-0.0007398128892796563,0.0,0.0,-1.2928085637248753e-05,-0.001606000241458412,0.0,0.0,0.0,-0.0009874832941732525,-0.0005686899573616455,0.0,0.0,-0.00896359008410802,-4.466980562598151e-05,0.0,0.0,0.0,-0.001198740391967483,-1.584570807678375,-1.0804505117881362,-0.00040243068131573523
pulse_high,PULSE,high,overall_no_flags,0.0,0.0,-0.00014386896857010445,0.0,0.0,-0.0008146203066521779,0.00228286695861718,-0.000695426688683165,-0.0015874402699339596,0.0,0.0,0.00012238923095496835,-0.002971095416314542,0.0,0.0,0.0,0.01121089878019077,-0.00044471247864066865,0.0,0.0,-0.016975330999235386,-6.167250191154577e-05,0.0,0.0,0.0,-0.002287114169584291,-1.2374743450440704,-0.8557300931030127,-0.02862288220853948
fqa_base,FQA,base,overall_no_flags,0.0,0.0,-1.1066843735862975e-06,0.0,0.0,-0.0005086723811823374,0.0008654485001748924,-0.0005453611947123238,-0.0003200873054625686,0.0383599440621353,0.01636997464686708,0.0016767274336995453,0.03638114209827357,0.0160081391605296,0.3094822358509188,0.5152416909506122,0.1740680022356333,0.340635497171903,0.0,-0.010239043824701196,-0.0315811501468872,-0.0012131272888245004,-0.0021310716729043416,0.0,0.0,-0.006818584248863134,-7.520423357076744,-7.090275086758652,-0.054680268823695144
fqa_current,FQA,current,overall_no_flags,0.0,0.0,-1.1066843735862975e-06,0.0,0.0,-0.0005088735965229907,0.0008645354101953218,-0.000546364148726719,-0.0003181712614686305,0.0383599440621353,0.01639004587709767,0.0016812547788643403,0.036441305485130186,0.016043603364320497,0.3094822358509188,0.5158735108312287,0.1744896007736128,0.34119567037594073,0.0,-0.01024925550323957,-0.031624562356634064,-0.0012158436959233774,-0.0021349450682119978,0.0,0.0,-0.006827488027687234,-7.545575274658944,-7.127718197788539,-0.05452935731820219
fqa_moderate,FQA,moderate,overall_no_flags,0.0,0.0,-4.577648999970485e-06,0.0,0.0,-0.0005488148416435135,0.0009029125130314286,-0.00048527809174481185,-0.000417634421286589,0.0383599440621353,0.01689514668598334,0.0018634049659946072,0.038216175701235464,0.01698252444766389,0.3094822358509188,0.5321032223450473,0.19161252142657664,0.3580407770329828,0.0,-0.010549066360819353,-0.03293925308865549,-0.0012936637289226935,-0.00227287818423276,0.0,0.0,-0.007161606100849129,-8.008370558171357,-7.4753444360442245,-0.0708781037466295
fqa_high,FQA,high,overall_no_flags,0.0,0.0,-2.2737333494338152e-05,0.0,0.0,-0.0006714052879391447,0.0011259860934740296,-0.000513398303880086,-0.000612587789593888,0.0383599440621353,0.017343052034287095,0.0020768441385971273,0.0397742363877822,0.01785680510282104,0.3094822358509188,0.5468420363796134,0.21175466644120927,0.37364733044323556,0.0,-0.010821662843575199,-0.03418462513582035,-0.0013551350154935807,-0.00240225964827559,0.0,0.0,-0.007627520222141734,-7.112962292245157,-7.272345742943987,-0.08330315103223462
