         12681992 function calls (12672568 primitive calls) in 6.645 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2305    0.001    0.000    0.001    0.000 utils.py:127(check_setitem_lengths)
       72    0.001    0.000    0.004    0.000 global_func.py:358(fetal_sensor_calculator)
     2016    0.001    0.000    0.006    0.000 <__array_function__ internals>:177(sum)
     4645    0.001    0.000    0.001    0.000 cast.py:1931(np_can_hold_element)
     1449    0.001    0.000    0.001    0.000 managers.py:2069(internal_values)
     2484    0.001    0.000    0.001    0.000 fromnumeric.py:70(<dictcomp>)
       36    0.001    0.000    0.002    0.000 global_func.py:147(P_RDS)
     2344    0.001    0.000    0.008    0.000 config.py:262(__call__)
     6018    0.001    0.000    0.001    0.000 managers.py:2433(_using_copy_on_write)
     4320    0.001    0.000    0.001    0.000 indexing.py:1063(<genexpr>)
     6048    0.001    0.000    0.001    0.000 generic.py:664(ndim)
     2344    0.001    0.000    0.001    0.000 config.py:650(_warn_if_deprecated)
     3745    0.001    0.000    0.001    0.000 indexing.py:278(loc)
     2304    0.001    0.000    0.002    0.000 indexing.py:2602(maybe_convert_ix)
     1373    0.001    0.000    0.001    0.000 managers.py:1891(__init__)
     7962    0.001    0.000    0.001    0.000 fromnumeric.py:3148(_ndim_dispatcher)
     2340    0.001    0.000    0.001    0.000 frame.py:4271(_clear_item_cache)
     4609    0.001    0.000    0.001    0.000 managers.py:287(<listcomp>)
     7568    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_scalar}
       36    0.001    0.000    0.001    0.000 global_func.py:103(P_NEC_vectorized)
     2736    0.000    0.000    0.001    0.000 common.py:151(cast_scalar_indexer)
     2344    0.000    0.000    0.001    0.000 config.py:638(_translate_key)
     9796    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     7493    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_iterator}
     2377    0.000    0.000    0.001    0.000 utils.py:66(is_list_like_indexer)
     2304    0.000    0.000    0.001    0.000 indexing.py:899(_validate_key_length)
     2304    0.000    0.000    0.001    0.000 managers.py:233(is_single_block)
      324    0.000    0.000    0.001    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
     7488    0.000    0.000    0.000    0.000 base.py:6569(_maybe_cast_indexer)
       36    0.000    0.000    0.002    0.000 global_func.py:316(baseline_p_maternal_death)
       72    0.000    0.000    0.001    0.000 global_func.py:226(labor_calculator)
     2340    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
     2305    0.000    0.000    0.000    0.000 blocks.py:206(_standardize_fill_value)
       38    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
     2304    0.000    0.000    0.000    0.000 common.py:313(is_null_slice)
     1368    0.000    0.000    0.001    0.000 series.py:1267(_set_as_cached)
     1449    0.000    0.000    0.001    0.000 series.py:708(_values)
    42/39    0.000    0.000    0.001    0.000 base.py:430(__new__)
      216    0.000    0.000    0.001    0.000 global_func.py:391(CTG_usage_time)
      435    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       36    0.000    0.000    0.001    0.000 function_base.py:5250(insert)
     2880    0.000    0.000    0.000    0.000 base.py:6193(_index_as_unique)
       36    0.000    0.000    0.094    0.003 LB_effect.py:6(f_LB_effect)
     2344    0.000    0.000    0.000    0.000 config.py:579(_select_options)
     2305    0.000    0.000    0.000    0.000 indexing.py:139(iloc)
     1407    0.000    0.000    0.000    0.000 flags.py:85(allows_duplicate_labels)
     7087    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     1410    0.000    0.000    0.000    0.000 flags.py:49(__init__)
     3024    0.000    0.000    0.000    0.000 {built-in method math.ceil}
     5077    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_integer}
       72    0.000    0.000    0.001    0.000 warnings.py:35(_formatwarnmsg_impl)
       36    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis0_object_object}
     4746    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     2305    0.000    0.000    0.000    0.000 generic.py:4122(_check_is_chained_assignment_possible)
     1368    0.000    0.000    0.000    0.000 blocks.py:827(iget)
      684    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(where)
     3981    0.000    0.000    0.000    0.000 fromnumeric.py:2107(_clip_dispatcher)
       36    0.000    0.000    0.003    0.000 generic.py:5332(_reindex_with_indexers)
       36    0.000    0.000    0.002    0.000 function_base.py:766(select)
       36    0.000    0.000    0.004    0.000 base.py:6844(insert)
       36    0.000    0.000    0.001    0.000 global_func.py:133(P_Sepsis_vectorized)
     2344    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      324    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.generic' objects}
     1404    0.000    0.000    0.001    0.000 managers.py:172(blknos)
      324    0.000    0.000    0.001    0.000 base.py:54(shape)
     2814    0.000    0.000    0.000    0.000 generic.py:353(flags)
      216    0.000    0.000    0.000    0.000 global_func.py:285(<listcomp>)
     2304    0.000    0.000    0.000    0.000 contextlib.py:428(__init__)
      265    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      234    0.000    0.000    0.002    0.000 fromnumeric.py:38(_wrapit)
     1372    0.000    0.000    0.000    0.000 managers.py:2009(_block)
     2341    0.000    0.000    0.000    0.000 managers.py:997(__init__)
       36    0.000    0.000    0.000    0.000 global_func.py:289(compute_scaled_density_index)
      324    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(any)
     2304    0.000    0.000    0.000    0.000 contextlib.py:434(__exit__)
       38    0.000    0.000    0.002    0.000 base.py:708(_with_infer)
     1407    0.000    0.000    0.000    0.000 generic.py:332(attrs)
     2306    0.000    0.000    0.000    0.000 managers.py:330(<dictcomp>)
     2477    0.000    0.000    0.000    0.000 typing.py:2246(cast)
       36    0.000    0.000    0.001    0.000 take.py:120(_take_nd_ndarray)
     1404    0.000    0.000    0.000    0.000 managers.py:188(blklocs)
      324    0.000    0.000    0.001    0.000 fromnumeric.py:2333(any)
      972    0.000    0.000    0.000    0.000 base.py:56(<genexpr>)
     2304    0.000    0.000    0.000    0.000 contextlib.py:431(__enter__)
       36    0.000    0.000    0.000    0.000 numeric.py:1411(moveaxis)
