scenario,intervention,level,comparison_baseline,anc,initial_l45,final_l45,free_referral,self_referral,emergency_transfer,delay_lt1h_given_transfer,delay_1_2h_given_transfer,delay_2plus_given_transfer,iv_iron,pph_bundle,mgso4,antibiotics,oxytocin,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths_per_100k,facility_maternal_deaths_per_100k,neonatal_deaths_per_1000
blood_current,Blood,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7160906726124168,-2.6083680187872673,0.0
blood_moderate,Blood,moderate,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.385730211817176,-5.098546979962542,0.0
blood_high,Blood,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.312110326603083,-10.17008579867706,0.0
referral_base,Referral,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_current,Referral,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.02454710374731539,-0.015987536371024125,-0.008559567376291308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.227094429992988,-0.2366295824543947,0.0
referral_moderate,Referral,moderate,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.06584553636112545,-0.04157185508362282,-0.02427368127750254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5832197861183417,-0.6077371618810545,0.0
referral_high,Referral,high,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.1239088902949218,-0.0777328773702416,-0.046176012924680175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1199884388290258,-1.1670653738422487,0.0
pulse_base,PULSE,base,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,overall_no_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_moderate,PULSE,moderate,overall_no_flags,0.0,0.0,4.283826747553121e-06,0.0,0.0,-0.0003067839299723263,-0.001684704358939415,0.0014076449153390125,0.0002770594436004442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003649407489987204,0.0,0.0,0.0,0.0,-0.0003604607952434058,-1.0425698831496035,-1.00032403542453,-0.041806020066889715
pulse_high,PULSE,high,overall_no_flags,0.0,0.0,1.8683678103981194e-05,0.0,0.0,-0.00031215161649944534,-0.0009631985230355022,0.0005830230919532386,0.00038017543108223584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006932883273462982,0.0,0.0,0.0,0.0,-0.0008502621908418953,-1.5586935876791017,-0.451755892925668,-0.06270903010033457
fqa_base,FQA,base,overall_no_flags,0.0,0.0,-4.1754407696492635e-05,0.0,0.0,-0.0004121247780667914,-0.0012730958440669848,0.0010056723007286772,0.0002674235433383215,0.04110502085139767,0.028005646393327553,0.010917771171394359,0.01867898137825674,0.004716028737767868,0.28936232686309316,0.47014769700932335,0.46557693078922396,0.4587993492904074,0.0,-0.017011437301292377,-0.015376409017713366,-0.005557258763780503,-0.0006330257236054279,0.0,0.0,-0.007445394112060771,-4.7225318964449485,-4.727569423990275,-0.03261901812626444
fqa_current,FQA,current,overall_no_flags,0.0,0.0,-4.1754407696492635e-05,0.0,0.0,-0.0004121247780667914,-0.0012730958440669848,0.0010056723007286772,0.0002674235433383215,0.04110502085139767,0.028014885007638633,0.010920506627028365,0.01869265865642677,0.004725680251042568,0.28936232686309316,0.4703062585046,0.4656954647342969,0.4591350969712957,0.0,-0.017018663033155787,-0.015383479912465421,-0.00555932325859862,-0.0006342644204962999,0.0,0.0,-0.00744864569139931,-4.7225318964449485,-4.727569423990275,-0.032825467608076586
fqa_moderate,FQA,moderate,overall_no_flags,0.0,0.0,-4.237375614180028e-05,0.0,0.0,-0.00042471819645731324,-0.0013144650612214592,0.0010379638220948673,0.0002765012391266197,0.04110502085139767,0.029086564267723686,0.01133660555762005,0.019331413353152485,0.005562161938973534,0.28936232686309316,0.48867096477527944,0.48345148041218705,0.47516601466601777,0.0,-0.01758598620917462,-0.01587663611214336,-0.005732224699616005,-0.0007504438663858831,0.0,0.0,-0.007713210702341135,-4.975432511664408,-4.878120415999874,-0.04557372310995511
fqa_high,FQA,high,overall_no_flags,0.0,0.0,-4.3147941698795655e-05,0.0,0.0,-0.0004353503447706297,-0.0013487643543863559,0.0010655468908801202,0.0002832174635062634,0.04110502085139767,0.03002167719559024,0.011703517899170074,0.019947923118212973,0.006355444072835378,0.28936232686309316,0.5047089504278739,0.4990974726002584,0.49067900528781505,0.0,-0.018106032453858535,-0.016325818572195384,-0.005883965068747679,-0.0008518621743259375,0.0,0.0,-0.007950988893017881,-5.068334778479716,-4.980269169505469,-0.05785746727775809
