scenario,intervention,level,location,location_code,births,delivery_share,anc,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths,maternal_deaths_per_100k,neonatal_deaths,neonatal_deaths_per_1000,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
mentors_high,MENTORS,high,Home,0,3905.765,0.040317158016433374,0.7198699345585321,0.02807499654113722,0.025227038042604833,0.019744921532927916,0.05844355189797474,0.024713194678559994,0.0013333826953075398,0.03221104814777476,20.485,524.3166370789437,81.57,20.887867726093415,0.9287731962892732,0.0,0.0,0.0,0.0
mentors_high,MENTORS,high,L2/3,1,20898.68,0.2157260828275321,0.7027729475029533,0.025496250705783367,0.018972382583442846,0.010038534043075406,0.027291687483622765,0.014843567407697227,0.0007029493348842422,0.003246326251208447,4.39,21.00527412127024,78.78,3.76994736956141,0.9331529377320124,0.0,0.0,0.0,0.0
mentors_high,MENTORS,high,L4,2,48103.165,0.4965436743878773,0.6855947917309712,0.028581925413809474,0.013256969862335316,0.012757376244552246,0.04230136690116852,0.029963995785421537,0.0015771965042155564,0.024650170284033223,4.785,9.973889962335756,270.515,5.62433843860057,0.9310848776757048,0.9302946470124196,0.9265324626472621,0.9279059989179723,0.0
mentors_high,MENTORS,high,L5,3,23968.39,0.24741308476815724,0.6785749814002936,0.046459800252968045,0.02142962658707714,0.021484715081733965,0.07038638082792549,0.0485260273836736,0.002569894158723363,0.08620093119977724,9.025,37.4716927394503,186.95,7.789529123540629,0.9296002579903672,0.9267253175829226,0.9331967920780678,0.929092304662846,0.0
prompts_base,PROMPTS,base,Home,0,3905.765,0.040317158016433374,0.7198699345585321,0.03158366582411177,0.029219814533307874,0.02213174664664965,0.05844355189797474,0.024713194678559994,0.0013333826953075398,0.03351231225660162,21.41,548.1207160079023,83.17,21.29993261350392,0.24874134430998926,0.0,0.0,0.0,0.0
prompts_base,PROMPTS,base,L2/3,1,20887.3,0.21560861307238122,0.7012460899851416,0.02957173442891676,0.023078266507287292,0.011701317387507197,0.02884191687563034,0.015568081495204982,0.000731572388576242,0.0033748346267457397,4.42,21.157849912675612,80.76,3.866614016932171,0.25404955202363283,0.0,0.0,0.0,0.0
prompts_base,PROMPTS,base,L4,2,48023.05,0.49571668937610963,0.6854540817342604,0.06090559183130498,0.04166394992935112,0.023378126506924182,0.045465977640157446,0.029823822538660782,0.00157207709996633,0.03453001906476372,7.575,15.830863448928326,285.925,5.954664480204318,0.24903668496576983,0.0,0.0,0.0,0.0
prompts_base,PROMPTS,base,L5,3,24059.885,0.24835753953507578,0.6802120057026092,0.09859880516751833,0.06690878159193685,0.038520604068566375,0.07383140559687666,0.04810333133363247,0.0025513310399441456,0.11977543778046972,13.42,55.54326080837768,197.895,8.21478935272102,0.2386104992991821,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,Home,0,3855.3,0.03979623436145175,0.7184764341631942,0.03106485451421177,0.0287512601751028,0.022032102061942567,0.05651917022563552,0.02414738766941994,0.0013391282909744175,0.032470235554135383,20.855,540.8305067077692,79.79,20.698113606174203,0.2504002525086417,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,L2/3,1,20926.035,0.2160084541062802,0.7008683133378635,0.032141541753519236,0.024976366988391382,0.012451491410542435,0.030963068636205113,0.016692036893577032,0.0008081284849701311,0.003272370362955563,4.23,20.212956974534166,84.93,4.058775009506857,0.2536392460893575,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,L4,2,48105.07,0.4965633387010199,0.6890950842762694,0.06022999775546364,0.041143947332499195,0.02325429385645013,0.04512824220306214,0.02970181504882547,0.0015497951136290305,0.034720571394877095,7.82,16.297953993382336,281.915,5.860689623198859,0.24927663233812983,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,L5,3,23989.595,0.2476319728312482,0.6836614484586235,0.09754295214970803,0.06603053375009041,0.03814869918876953,0.07304437717279683,0.04751887945940518,0.0025524724630608914,0.11980525323415606,13.505,56.025872030758386,193.4,8.05094855460316,0.23839747006245626,0.0,0.0,0.0,0.0
prompts_moderate,PROMPTS,moderate,Home,0,3792.335,0.03914627978033775,0.7680262877995875,0.029495322236584482,0.027544314848162263,0.019891539732257147,0.05342001783000471,0.02210026188662381,0.0013508919277379278,0.028068380224041747,17.585,463.7115726602113,74.04,19.519822300934738,0.24986085203039377,0.0,0.0,0.0,0.0
prompts_moderate,PROMPTS,moderate,L2/3,1,20979.3,0.21655828068871547,0.7546116683298375,0.03544458532775508,0.027101181759413624,0.0133646434921127,0.03352442403827947,0.01785942571666273,0.0008737914390788295,0.0030070111467745473,4.03,19.20847670746983,86.315,4.1142633223263125,0.2539921773913517,0.0,0.0,0.0,0.0
