scenario,intervention,level,comparison_baseline,location,location_code,births,delivery_share,anc,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths,maternal_deaths_per_100k,neonatal_deaths,neonatal_deaths_per_1000,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
referral_moderate,Referral,moderate,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_moderate,Referral,moderate,overall_no_flags,L2/3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_moderate,Referral,moderate,overall_no_flags,L4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0800000000000018,-1.9905035438586083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_moderate,Referral,moderate,overall_no_flags,L5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.855000000000004,-11.450776748441854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_high,Referral,high,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_high,Referral,high,overall_no_flags,L2/3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_high,Referral,high,overall_no_flags,L4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9000000000000021,-3.4937361643837406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
referral_high,Referral,high,overall_no_flags,L5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.645000000000003,-22.605261990629288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_base,PULSE,base,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_base,PULSE,base,overall_no_flags,L2/3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_base,PULSE,base,overall_no_flags,L4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_base,PULSE,base,overall_no_flags,L5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,overall_no_flags,L2/3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,overall_no_flags,L4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_current,PULSE,current,overall_no_flags,L5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulse_moderate,PULSE,moderate,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,-0.008613514243953804,0.0,0.0,0.0,0.0,-0.0005892535409555144,-3.5749999999999886,-5.1568266417905875,-2.5550000000000637,-0.03764517785521093,0.0,0.0,0.0,0.0,0.0
pulse_moderate,PULSE,moderate,overall_no_flags,L2/3,1,235.89500000000407,0.0011607863399271667,0.00015101264008599014,-3.659429989090815e-06,-0.001982654537801505,-5.523470201750872e-05,-0.00013460985609858693,-2.033579917191941e-05,-0.00013601732743222586,-8.210334112752557e-05,-0.3200000000000003,-0.6662586537582591,-0.5999999999999943,-0.021055191220412883,-0.0010591639311233747,0.0,0.016849756205925714,-0.0032521404316070146,0.0
pulse_moderate,PULSE,moderate,overall_no_flags,L4,2,-107.34500000000116,-0.0005282206475740181,0.0003750678243824579,0.0002264328496364293,-0.010695849022148027,-0.00010464543755550962,-8.962038005613099e-05,0.0001727962671036927,0.00014147825290030877,-0.0005361631422046327,-0.28500000000000014,-0.49884823259561983,-2.0200000000000387,-0.019151060684775345,0.0004889015371635774,0.0,0.0010420584556307677,0.0021244337204439634,0.0
pulse_moderate,PULSE,moderate,overall_no_flags,L5,3,-128.54999999999927,-0.0006325656923531209,-0.00023980666857226218,0.0003115755932263653,-0.01578940096677159,0.0001318147478553619,0.001041933277376214,-9.713092887116137e-05,0.00024144505444137487,-0.0024281616700827097,-3.145000000000003,-11.4530671974357,2.180000000000007,0.1740275204585977,-8.945104942836846e-05,0.0,0.0003584993433018435,0.0008514019047028976,0.0
